#,Listings,"Marka (obecna)","Marka EU","Model (obecny)","Model EU — do `serie` (filtr/URL)","Model EU — pełna nazwa (do title/SEO)","Alias EU (w tytule)","Slug URL huba","Tytuł preview","EU market?",Typ,Uwagi,STATUS
1,78,AITO,AITO,"Aito M9",M9,"AITO M9",,/samochody/aito/m9/,"AITO M9 2025",Y,SUV,"flagship | MARKA: Huawei-Seres, w EU pod AITO",
3,44,AITO,AITO,"Aito M7",M7,"AITO M7",,/samochody/aito/m7/,"AITO M7 2025",Y,SUV,"MARKA: Huawei-Seres, w EU pod AITO",
4,40,AITO,AITO,"Aito M8",M8,"AITO M8",,/samochody/aito/m8/,"AITO M8 2025",Y,SUV,"MARKA: Huawei-Seres, w EU pod AITO",
10,28,AITO,AITO,"Aito M5",M5,"AITO M5",,/samochody/aito/m5/,"AITO M5 2025",Y,SUV,"MARKA: Huawei-Seres, w EU pod AITO",
204,1,Audi,Audi,"Audi E5 Sportback","E5 Sportback","Audi E5 Sportback",,/samochody/audi/e5-sportback/,"Audi E5 Sportback 2025",?,,"do potwierdzenia (fallback) | MARKA: niemiecka; JV SAIC-Audi dla CN (Audi A7L, E5 Sportback)",
13,24,Avatr,Avatr,"Avatr 06",06,"Avatr 06",,/samochody/avatr/06/,"Avatr 06 2025",Y,sedan,"MARKA: Changan-Huawei-CATL JV, debiut EU 2024+",
18,19,Avatr,Avatr,"Avatr 12",12,"Avatr 12",,/samochody/avatr/12/,"Avatr 12 2025",Y,"sedan coupe","MARKA: Changan-Huawei-CATL JV, debiut EU 2024+",
32,12,Avatr,Avatr,"Avatr 07",07,"Avatr 07",,/samochody/avatr/07/,"Avatr 07 2025",Y,SUV,"MARKA: Changan-Huawei-CATL JV, debiut EU 2024+",
59,8,Avatr,Avatr,"Avatr 11",11,"Avatr 11",,/samochody/avatr/11/,"Avatr 11 2025",Y,SUV,"MARKA: Changan-Huawei-CATL JV, debiut EU 2024+",
155,2,"Beijing Off-Road",BAIC,"Beijing Off-road BJ40",BJ40,"BAIC BJ40",,/samochody/baic/bj40/,"BAIC BJ40 2025",?,"off-road SUV","MARKA: Beijing Off-Road = BAIC BJ series",
208,1,"Beijing Off-Road",BAIC,"Beijing Off-road BJ40 EREV","BJ40 EREV","BAIC BJ40 EREV",,/samochody/baic/bj40-erev/,"BAIC BJ40 EREV 2025",?,,"do potwierdzenia (fallback) | MARKA: Beijing Off-Road = BAIC BJ series",
209,1,"Beijing Off-Road",BAIC,"Beijing Off-road BJ60",BJ60,"BAIC BJ60",,/samochody/baic/bj60/,"BAIC BJ60 2025",?,,"do potwierdzenia (fallback) | MARKA: Beijing Off-Road = BAIC BJ series",
